comment,classification
is she a deamon? Look at the eyes and the hands are not real,"2,3"
Nothing stands out as weird,0
"outlines, face and shoes","2,6"
difficult. but it does not look right,"2,3,7"
The girl has mustache,"2,6"
looks like google streetview,0
looks to soft,"1,4"
right looks like an alien,"2,6"
even a blind could see this fake,7
too smooth,5
slight deformations of the pencil,"3,9"
a good fake but the childs hand...,"3,6"
Michelle’s face on both females,"2,6"
not human proportions,"2,6"
a good fake. but the shoe from the man in the front ist deformed,"3,9"
looks like a drawing ,"1,5"
AI seems to have problems with things lice fences,0
AI has problems with straigt lines,"1,9"
the hand from the left woman ,"3,6"
Extra hands and leg. Wrinkles on blue pants look weird. ,"3,6"
AI and straigt lines are no friends,"1,5"
The table,0
The girls aren't looking at each other - no eye contact,7
material of jacket and trousers don't match,8
reflection on screen ,4
Eye reflection.,"1,4"
screen in background.,4
e,0
Skin is too smooth,"1,5"
;,"1,4,5"
IJJ,0
Eyes of the people on the pictures. they do not fit. ,"2,6"
 ,"1,4,5"
Shadow looks strange.,4
Looks real,0
"Proportions look fine, also shadow and light seem to be authentic.","1,4"
.,0
Man’s hand between thumb and forefinger is distorted and disproportionally long.,"3,6"
Striped shadow in his face from the ceiling. ,4
Nothing found that looks strange.,0
Lots of face and hand distortions on all characters.,"2,6"
The person in the front seems to be not truly part of the team. ,7
Looks authentic. ,0
All hands are incorrect. There’s a massive hamburger with a hand in it. Lighting above the table is not positioned how it would be in a real setting.,"3,4"
The eyes and mouth look wrong. ,"2,6"
Is the pizza flying?,9
Nothing found that doesn't look right. ,0
Tips of teeth look wrong. Musculature in arm doesn’t look right.,"3,6"
No Pizza available outside the earth. ,0
Arm of guy taking the shot is heavily distorted.,"3,9"
Man’s hand and woman’s hands and cutlery are distorted. Man has a normally short arm.,"3,6"
Pizza is not real. Boys right hand is distorted. Girls and boys hands blend into each other,"3,6"
Everyone looks silly,7
Disproportionate. Looks like plastic.,"2,6"
The Shadow doesn't make sense.,"4,9"
"Distorted head, neck and shoes.","2,3"
Shoes and hands distorted. Mask bleeds into face.,"2,3"
too perfect light,4
Complicated hand positions are not distorted.,0
"Focus, position of the person beside the man",0
Too much on focus,0
NASA patch is disproportionally bad quality compared to the rest of the image. A female US astronaut would not wear a headscarf in a spacesuit.,"1,8"
Consistent image quality. Flags are not distorted as would be expected if faked.,"1,10"
"Hands look unusual.
Shadow looks exaggerated","3,4"
"Slight tooth distortion. Double eyepieces on microscope. Different colour eyes are possible, but rare and the eyes look to be different quality.","2,6"
"Ridiculous photo, but not distorted where it should be if fake.","2,6"
"Hands, lighting and corner of room.","3,4"
Uniformly mirrored items on suit. Consistent quality. Places that are usually distorted are not.,"1,10"
Teeth. It’s always the terth!,"2,6"
Hands all distorted and mismatched socks and shoes on closest subject as well as legs that don’t match the rest of him. Subject in background looks like a bad oil painting.,"3,6"
Arms looks slightly distorted but might be an optical illusion. Hair and hair tie are too good for ai.,"2,5"
Hands and teeth look real as does the pizza.,"3,9"
Fake,"2,5,6,7"
Looks like a cartoon. Long hair on face.,"2,5"
"Designed to look fake, but no distortions.","1,5"
Teeth aren’t perfect. Hands are good. Shadows look legit.,"2,9"
"Hands, watch, face.","6,10"
Skin looks too perfect,"1,5"
Girls face is low res,1
"too close to window
","4,8"
Seeing 2 sides of a racket,0
dddd,0
The glare in the eyes,"1,4"
"For me, it's a real image ",0
The light and shadow look weird.,4
The facial expressions look weird.,"2,7"
The eyes look weird.,"2,6"
The hands look weird. The light and shadows seem odd.,"3,4"
The facial expressions are wrong.,2
The light looks weird.,4
Tone & light,4
The facial expression and the hands look weird.,"2,3"
Arm size,3
eyebrows,"2,6"
The light is weird.,4
The fingers look weird.,3
"the background blurred can allow overlap a person on a fake place to give the feeling that is inside an hospital and enforce the fake, the light seems to come from both sides but there is a shade on the left side of his face.
Im not sure the image could be legitimate honestly","4,8"
Looks like the image of the man is overlaid upon a backdrop.,"4,5"
FACE SOFTNESS,"2,5"
SOFTNESS,"1,5"
faces are strange.,"2,6"
His arm is missing,3
too exactly,0
نه,0
faces!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0
shadow,4
jllljkklnmkmnlknmn,0
Hand only has four fingers and the thumb looks too long,"3,6"
its fake because the faces are messed up and that gives it away,"2,7"
Fingers are wrong,"3,6"
Fingers on left hand,"3,6"
you can tell its fake because their eyes are messed up and their hands ,"2,3"
 ,"1,4,5"
it's fake because you can tell by their faces and the food and his hand is in the food all of that gives it away,"2,4,8"
Looking at the image the eyes seem a bit off and something about the face just isn't right.,"2,7"
its fake because you can tell by her teeth it is messed up ,"2,6"
you can tell by her eyebrows ,"2,6"
The hair seems off also too short on one side and the shading looks way too smooth.,"2,5"
m,0
The hand is off on proportions and the sleeve is messed up.,"3,4"
Missing pieces of face,"2,3"
"It seems like a generic image you may find on google, the girl in the red's hand looks off but that is the only real indicator I see that it might not be real.","2,9"
The girl's hair on the left looks too blurry compared to everyone else and where the one guy is standing looks off.,"1,4"
background,4
 ,0
"Creepy smile, main runner's shadow is inconsistent with the rest","2,4"
lighting,4
Facial features are misplaced on face,2
Look at the hands. Looks like a drawing/cartoonish,"1,5"
no shadow,4
hands,"3,6"
eyes,"2,6"
"Door to the right is off center of the stairs. This did get me a first, being a picture I felt I had seen before",8
looks real,0
arm,"3,6"
"No small details that are misshaped (hands, books, details in the chair), also the quality is not cartoon-looking","1,9"
the face apear be artificial,"2,5"
"No over-exaggerated filters. Small details are all real. The girl in the blue having two slices threw me off, but I think this is real.","3,9"
"Hands, weird filter makes it look cartoonish.","1,5"
Details are too consistent for AI. The neck area makes only somewhat ,7
"No filters, details seem consistent",0
Yapay zeka çünkü ,0
"Faces are unusual, legs of baby being carried","2,3"
The faces behind the players,"2,6"
The smile,"2,7"
"this looks real
",0
looks fake,"2,5,6"
too perfect,7
real,0
The pizza in the hand of the girl on the left,0
Arms look funny and small face,"2,6"
"It looks stupid
",0
"Fingers and flag are messed up
","3,8"
"k
",0
u,0
"pizza is not floating
",0
The light reflected in the eyes seem similar even though one eye is in sun and the other is shaded.,4
The legs,"3,9"
Too many fingers on woman,3
Feels almost too perfect ,7
The kids’ eyes ,"2,6"
Something about the shadows and wrinkles bothers me,4
Unevenness of facial lighting between the various subjects.,4
She almost looks like she’s floating ,"3,9"
"His pinky finger, drink looks like it’s in the plate","3,8"
His chin and the dog’s fur seem almost pixelated ,"1,5"
Her nose,"2,6"
Teeth look unnatural,"2,6"
Tall guy in back looks jammed in,"3,9"
d,0
Extra hand!,3
Lighting looks off - shadows match the back lighting that is seen but there aren't shadows for the lighting on the faces. and front of the bodies.,4
"His nose, wrinkles and the dog’s eyes","2,6"
Proportions seem off,"2,6"
skin too smooth ,"1,5"
Muchas pecas,0
Bon brillo,0
"To low quality, could be anything",1
too many mistakes in size or position ,"2,3"
"Really true colors and light, depth, reflexions",0
Texture of the eyes,"2,6"
The neck looks off,"2,6"
Reflection in the window seems too strong,4
The keyboard looks melted,"3,9"
Faces are messed up,"2,6"
Numbers are out of order,"1,2,3,4,5,6,7,8,9,10"
Pen doesn’t have a presence in the pocket ,0
Hands are missing fingers and kind of melted ,"3,9"
se nota en el pelo de la chica y en el difuminado,"1,4"
"Teeth look wrong, smiles seem copy/ pasted, hand sizes don’t look proportional ","2,6"
"Angles are wrong for screen, person, pen, etc. her left hand has no fingers","2,3"
"Hands are wrong texturally, you can’t grab a pull of cheese like that from the middle of a pizza ","3,9"
"Watches are weird, man has random blue swirls on hand","3,8"
Bib info isn’t clear… nor does it look like it was just blurred,0
His hand and leg proportions seem off for his height,"2,3"
plates are not being held,"3,9"
fake,"5,7"
Watch looks like a melted thing ,"3,9"
Her fingers are bending in unnatural ways,3
Kananzbsksnsn,0
"Extra hands, child has an extra eye, lighting is different for different parts of the same face","3,6"
his fingers don't look right,"3,6"
because the stuff edited into the window,5
Hands are blurred/ look off,"3,6"
the guy with the ball is the only one who isn't blurry. ,"1,4"
her left eye,"2,6"
the words on the board,0
"there faces
","2,6"
there are no woeman astronauts,7
why are they the only ones paying attention. ,0
"there face
",0
],0
facial features.,"2,6"
height,0
The way the heads connect to the bodies (above the clothes) doesn't look natural. The outlines around the hair make it seem the heads were pasted in.,"2,5"
Because its a picture from back in the day and the quality would not be that good,1
"Too smooth, especially the neck.","2,6"
the pizza doesnt look real ,"1,4"
Because it just looks like a real picture photographed by a photographer,0
nothing about her looks real,"2,6"
It has an AI look to it - cartoony. ,7
you can see the editing on her ,5
"It seems real, but I'm not confident. ",7
This is real because its just a normal photo of a lady and theres nothing weird about it.,0
faces don't match,"2,6"
Ai because the background doesn't look real,4
the pizza doesnt look real ,"1,4"
she doesnt look real,"2,7"
 ,"1,4,5"
Its just a normal photographed image,0
It just has that unrealistic look to it. ,7
AI the photo or the person don't look real,"2,6,7"
Real image just with a filter,5
real photo,0
"shoe colors dont match, the tie is oddly rendered, hand sizes are different","1,5"
skin tone is unnatural,5
 ,"1,4,5"
Unnatural skin tones and lighting,4
the phone and the background,"4,8"
It just looks fake,7
discontinuity between backrop and figure,"4,8"
"The eyes are messed up, the flag pin on his shirt is warbled, and his hands.","2,5"
it looks way to fake and edited,"5,7"
The face looks like a botched plastic surgery.,"2,6"
their faces look way too perfect,"2,6"
"Goofed up glasses lens, keyboard off of Wish.com.","1,4"
the background looks filtered,4
The designs on the cloth are warbled.,"1,5"
"The image is too clear
",1
It looks like the actresses' photo was pasted on top of a background. The background and the foreground look to be different qualities.,"4,5"
I can't quite tell where everyone's legs are.,"3,6"
Face lighting and texture looks odd,4
hands,"3,6"
They look like they are on a space station but have cocked pizza.,8
there are 2 michelle obama's,"2,6"
looks fake.,"2,5"
Image looks like a painting.,"1,5"
Seen it.,0
"Arms are uneven, and fingers are deformed.","3,6"
Looks painted.,"1,5"
Texture of the skin is much too smooth.,"1,5"
The hand looks crazy!,3
Stock image,"1,4"
Faces look scary,"2,7"
Door swinging over no deck.  Weird letters on door.,8
looks funky,0
 ,"1,4,5"
hand is wonky,3
hand wonky,"3,6"
looks like a movie scene.,"4,8"
no,0
"haiur is shit
",0
Hands,"3,6"
playdough,0
real,0
Detail,"1,4"
got that fakeness to it,7
;kjhdswf;hufdshkjdsjkhfdskhjfdshjkfdskhjkjdfshjkfdskjhdfskhjjkhdfsjhkfdskhjfds,0
This is fake because it doesn't look like the woman is smiling,"2,7"
real shi,0
Shirt patterns don't match.,"1,8"
For me he looks like he's dressing up to look like a famous doctor,"7,8"
i said so,0
wqd,0
infinite pizza glitch,0
Looks like the man is dressing up to rehearse or play in a movie,0
i say,0
The woman looks focused on doing tests in a lab,0
the little kids eyes are messed up,"2,6"
Theyre just eating dressed up,0
yee yee ass haircyut,0
He looks like he's ready to do a checkup on a patient,0
The woman has a big day because shes gonna get married,0
They look like they're in a movie,0
They're eating pizza after they've worked out,8
fingas loom wak,0
blm,0
ears look like turkey not the country,"2,6"
Doğal ,0
